SMILES,T_g (K)
[13CH2]=[13CH][13C](N)=O,304.37614689095915
CCCCC(CC)CO,242.49242951292015
C=CC(=O)NC(C)c1n[nH]c(C)n1,368.9468049220936
C=CC(=O)N1CCC(C)C1CO,287.535740700237
C=CC(=O)N1CCC(C(=O)N2CCN(C(=O)Cc3ccccc3C)CC2)CC1,384.61397093286314
C=CC(=O)Nc1cccc(C(=O)O)c1,353.0664369862053
C=CC(=O)N1CCNCC1C(=O)OCC,328.92359584304506
C=CC(=O)NCCOCCOCCCC,262.50977959569127
C=CC(=O)N1CC(O)C1,292.50803464892
C=CC(=O)N1CCc2ccc(C(=O)O)cc2C1,380.4409309429523
C=CC(=O)Oc1cccc(CC)c1,236.3136728313442
C=CCNC(=O)CN1CCN(C(=O)C=C)CC1,326.8677911138926
C=CC(=O)NC1(C(=O)O)CCOC1,345.8620286490737
C=CC(=O)N1CCN(CC(=O)NCc2cccs2)CC1,357.31030987593476
C=CC(=O)OCCOCCOCCOCCO,272.8298074048635
C=C(C)C(=O)N1CC(NC(C)=O)(C2(OCc3cccc(C)c3)CC2)C1,377.9022449528367
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,312.37673294801596
C=CC(=O)NCC(OCC)OCC,278.99548236261796
C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,407.0918571335519
C=CC(=O)N1CCN(S(=O)(=O)c2csc(-c3ccccc3C)n2)CC1,394.8202979337435
C=CC(=O)N1CCN(C(=O)c2ccc(OC)c(OC)c2)CC1,365.1969416644045
C=CCN(Cc1ccc(Cl)s1)C(=O)C=C,293.44555007733277
C=CC(=O)N1CCCC(OCC(F)(F)F)C1,302.88092754827113
C=CC(=O)N[C@H]1CCCNC1,319.3177672528913
C=CC(=O)NCc1oc(C)nc1C,311.6137022683071
C=CC(=O)NC1C=CS(=O)(=O)C1,348.7588413301159
C=CC(=O)N1CCC(N2CCCC2)CC1,320.06919728840626
C=CC(=O)Nc1ccc(CCC(=O)O)cc1,339.5480789297667
C=C(C)C(=O)OCC(O)CSc1c(F)cccc1F,361.8529319005878
C=CC(=O)N(C)CC(C)C(=O)O,310.4390317800027
C=CC(=O)OCCCS(=O)(=O)O,293.9245468322833
C=CC(=O)Nc1ccc2sc3c(Cl)ncnc3c2c1,378.4343856076283
C=CC(=O)Nc1c(C)cccc1C,317.15654700731204
C=C(C)C(=O)OC1CCC(C(C)(C)C)CC1,260.04171367249273
C=C(C)C(=O)NC1C(OC(C)=O)OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O,385.96063920882074
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,329.5245917605947
C=C(C)C(=O)N1CCN(c2nc3ccc(Cl)cc3s2)CC1,378.7431422221708
CCC(CC)CO,203.8267233902502
C=CC(=O)Nc1ccc(CC(=O)N(C)C)cc1,365.3537666549134
C=C(C)C(=O)NC1CC1,259.37409026119997
C=CC(=O)Nc1ncc(CC)s1,314.22804003955673
C=CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC(CC)CC,367.11308711733335
C=CC(=O)N1CCCCO1,285.95156688696676
C=C(C)C(=O)Oc1ccc(F)cc1,227.23454423612463
C=C(C)C(=O)NCc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1,411.92918199385576
C=C(C)C(=O)OCCc1c(C)c2cc3c4c(c2oc1=O)CCCN4CCC3,375.4560958149028
C=CC(=O)NCc1ccc(Cl)cc1,300.26559750406255
C=CC(=O)Nc1cccc(C(=O)NC2CCN(Cc3ccccn3)CC2)c1,366.75643974183106
C=C(C)C(=O)Nc1cc(Cl)c(C)c(Cl)c1OC(=O)C(=C)C,316.14433338775893
C=C(C)C(=O)N(CCC1(Cc2ccccc2)CCOC(C)(C)C1)Cc1ccc(N(C)C)cc1,426.8414271165608
C=C(C)C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,259.08444828260315
C#CCN(CC1CC1)C(=O)C=C,276.55977242117643
C=CC(=O)OCCN1CCCC1=O,278.30018086665234
C=C(C)C(=O)Oc1cccc(N2Cc3ccccc3C2=O)c1,359.44266303559345
C=CC(=O)NC1CC(C)(C)N(O)C(C)(C)C1,362.71865543159623
C=CC(=O)NC(C)c1ccc(Cl)s1,308.02316151100274
CC#N,754.4562005455273
C=C(C)C(=O)OCC(F)(C(C(F)(F)F)C(F)(F)F)C(F)(F)C(F)(F)F,250.54631094802556
C=CC(=O)N1CCC(C(=O)OC)C1,292.5129890305055
C=CC(=O)N(Cc1cccc(F)c1)C1CC1,312.62726168239755
C=CC(=O)Nc1ccsc1Cl,295.5964961622815
C=CC(=O)N(CC)CC1CCOC1,296.7077092023799
C=CC(=O)Oc1ccc(C(=O)Oc2ccc(OCCCC)cc2)cc1,315.8466814178994
C=CCOc1ccc(CN(C)C(=O)C=C)cc1,319.57971485619555
C=CC(=O)NC(C(=O)O)C1CC1,309.55520030848913
C=CC(=O)NC(CNC(=O)c1cc(OC)cc(OC)c1)c1ccccc1,370.8266466636894
C=C(C)C(=O)OCC(C)O,243.50960866927963
C=C(C)C(=O)Nc1nc2scc(-c3ccc(NC(C)=O)cc3)n2n1,319.9590589888509
C=CC(=O)Nc1ccc2c(c1)N(C)CCC2,349.22973928294095
C=CC(=O)N1CCCC1CN(C)C,284.37695372403107
C=CC(=O)NC1(CC)CCC1,269.9833317229669
C=CC(=O)N1CCOCC1,275.04726793597547
C=CCSc1ccccc1NC(=O)C=C,266.381780996059
C=C(C)C(=O)Nc1ccc(NC(=O)C(F)(F)F)cc1,352.8586877212872
C=C(C)C(=O)NCCCOC(C)C,267.6060499622049
C=CC(=O)NCC(N)C(C)O,333.885311193156
C=CC(=O)NC(CC(F)(F)F)C(C)(C)C,262.4364177265552
C=C(C)C(=O)Oc1ccc(C(=O)OC)cc1,278.5351362156634
C=CC(=O)N(CC(=O)O)C(C)(C)C,317.71277149904336
C=CC(=O)NCC(=O)NC1CC1,340.6117110085197
C=CC(=O)N(C)CC(C)(C)CN1CCOCC1,325.96387005114013
C=CC(=O)Oc1ccc(N2C(=O)C3C4c5ccccc5C(c5ccccc54)C3C2=O)cc1,313.3509912648822
C=CC(=O)N1CCCC2(CCS(=O)(=O)C2)C1,351.859370136646
