regime,seed,fold,cutoff,test_local_index,max_tanimoto_to_train,regime_label
stratified,42,2,,18,0.6285714285714286,cluster_cnan
stratified,42,2,,21,0.4489795918367347,cluster_cnan
stratified,42,2,,22,0.5208333333333334,cluster_cnan
stratified,42,2,,23,0.5333333333333333,cluster_cnan
stratified,42,2,,28,0.6486486486486487,cluster_cnan
stratified,42,2,,31,0.625,cluster_cnan
stratified,42,2,,39,0.3012048192771084,cluster_cnan
stratified,42,2,,40,0.5,cluster_cnan
stratified,42,2,,48,0.2941176470588235,cluster_cnan
stratified,42,2,,58,0.3846153846153846,cluster_cnan
stratified,42,2,,83,0.3518518518518518,cluster_cnan
stratified,42,2,,84,0.4883720930232558,cluster_cnan
stratified,42,2,,86,0.46875,cluster_cnan
stratified,42,2,,99,0.5111111111111111,cluster_cnan
stratified,42,2,,101,0.6,cluster_cnan
stratified,42,2,,104,0.53125,cluster_cnan
stratified,42,2,,118,0.5517241379310345,cluster_cnan
stratified,42,2,,122,0.425,cluster_cnan
stratified,42,2,,125,0.3055555555555556,cluster_cnan
stratified,42,2,,127,0.5483870967741935,cluster_cnan
stratified,42,2,,128,0.3870967741935484,cluster_cnan
stratified,42,2,,129,0.3818181818181818,cluster_cnan
stratified,42,2,,130,0.4285714285714285,cluster_cnan
stratified,42,2,,139,0.6785714285714286,cluster_cnan
stratified,42,2,,140,0.5666666666666667,cluster_cnan
stratified,42,2,,142,0.4864864864864865,cluster_cnan
stratified,42,2,,148,0.6578947368421053,cluster_cnan
stratified,42,2,,150,0.6486486486486487,cluster_cnan
stratified,42,2,,158,0.4130434782608695,cluster_cnan
stratified,42,2,,160,0.4242424242424242,cluster_cnan
stratified,42,2,,164,0.4210526315789473,cluster_cnan
stratified,42,2,,175,0.5098039215686274,cluster_cnan
stratified,42,2,,178,0.4468085106382978,cluster_cnan
stratified,42,2,,179,0.5789473684210527,cluster_cnan
stratified,42,2,,190,0.3658536585365853,cluster_cnan
stratified,42,2,,193,0.4666666666666667,cluster_cnan
stratified,42,2,,194,0.6,cluster_cnan
stratified,42,2,,197,0.4883720930232558,cluster_cnan
stratified,42,2,,200,0.4390243902439024,cluster_cnan
stratified,42,2,,201,0.3829787234042553,cluster_cnan
stratified,42,2,,204,0.4523809523809524,cluster_cnan
stratified,42,2,,212,0.3472222222222222,cluster_cnan
stratified,42,2,,214,0.5,cluster_cnan
stratified,42,2,,220,0.4444444444444444,cluster_cnan
stratified,42,2,,238,0.75,cluster_cnan
stratified,42,2,,240,0.2631578947368421,cluster_cnan
stratified,42,2,,244,0.2972972972972973,cluster_cnan
stratified,42,2,,255,0.375,cluster_cnan
stratified,42,2,,267,0.4864864864864865,cluster_cnan
stratified,42,2,,271,0.3673469387755102,cluster_cnan
stratified,42,2,,285,0.6785714285714286,cluster_cnan
stratified,42,2,,287,0.2962962962962963,cluster_cnan
stratified,42,2,,289,0.5263157894736842,cluster_cnan
stratified,42,2,,305,0.3896103896103896,cluster_cnan
stratified,42,2,,313,0.5882352941176471,cluster_cnan
stratified,42,2,,319,0.4722222222222222,cluster_cnan
stratified,42,2,,329,0.4736842105263157,cluster_cnan
stratified,42,2,,330,0.5769230769230769,cluster_cnan
stratified,42,2,,341,0.4393939393939394,cluster_cnan
stratified,42,2,,343,0.3928571428571428,cluster_cnan
stratified,42,2,,347,0.4893617021276595,cluster_cnan
stratified,42,2,,348,0.6071428571428571,cluster_cnan
stratified,42,2,,349,0.627906976744186,cluster_cnan
stratified,42,2,,356,0.4473684210526316,cluster_cnan
stratified,42,2,,368,0.7391304347826086,cluster_cnan
stratified,42,2,,372,0.5675675675675675,cluster_cnan
stratified,42,2,,374,0.5,cluster_cnan
stratified,42,2,,376,0.12,cluster_cnan
stratified,42,2,,379,0.2758620689655172,cluster_cnan
stratified,42,2,,381,0.4354838709677419,cluster_cnan
stratified,42,2,,382,0.8518518518518519,cluster_cnan
stratified,42,2,,383,0.4772727272727273,cluster_cnan
stratified,42,2,,386,0.5666666666666667,cluster_cnan
stratified,42,2,,388,0.6538461538461539,cluster_cnan
stratified,42,2,,389,0.4285714285714285,cluster_cnan
stratified,42,2,,394,0.5882352941176471,cluster_cnan
stratified,42,2,,398,0.4545454545454545,cluster_cnan
stratified,42,2,,402,0.5128205128205128,cluster_cnan
stratified,42,3,,5,0.4038461538461538,cluster_cnan
stratified,42,3,,6,0.6326530612244898,cluster_cnan
stratified,42,3,,15,0.6,cluster_cnan
stratified,42,3,,16,0.5806451612903226,cluster_cnan
stratified,42,3,,17,0.4375,cluster_cnan
stratified,42,3,,35,0.5294117647058824,cluster_cnan
stratified,42,3,,37,0.5588235294117647,cluster_cnan
stratified,42,3,,38,0.6857142857142857,cluster_cnan
stratified,42,3,,41,0.4864864864864865,cluster_cnan
stratified,42,3,,53,0.4210526315789473,cluster_cnan
stratified,42,3,,54,0.3658536585365853,cluster_cnan
stratified,42,3,,55,0.4259259259259259,cluster_cnan
stratified,42,3,,56,0.8518518518518519,cluster_cnan
stratified,42,3,,63,0.5882352941176471,cluster_cnan
stratified,42,3,,64,0.4464285714285714,cluster_cnan
stratified,42,3,,68,0.6785714285714286,cluster_cnan
stratified,42,3,,75,0.46,cluster_cnan
stratified,42,3,,82,0.7419354838709677,cluster_cnan
stratified,42,3,,90,0.4444444444444444,cluster_cnan
stratified,42,3,,93,0.8260869565217391,cluster_cnan
stratified,42,3,,96,0.5,cluster_cnan
stratified,42,3,,108,0.5,cluster_cnan
stratified,42,3,,111,0.5789473684210527,cluster_cnan
stratified,42,3,,116,0.627906976744186,cluster_cnan
stratified,42,3,,123,0.5434782608695652,cluster_cnan
stratified,42,3,,131,0.3617021276595745,cluster_cnan
stratified,42,3,,133,0.4473684210526316,cluster_cnan
stratified,42,3,,136,0.6071428571428571,cluster_cnan
stratified,42,3,,143,0.4864864864864865,cluster_cnan
stratified,42,3,,151,0.2985074626865671,cluster_cnan
stratified,42,3,,155,0.2741935483870967,cluster_cnan
stratified,42,3,,157,0.4561403508771929,cluster_cnan
stratified,42,3,,159,0.4464285714285714,cluster_cnan
stratified,42,3,,165,0.5,cluster_cnan
stratified,42,3,,166,0.1538461538461538,cluster_cnan
stratified,42,3,,180,0.4594594594594595,cluster_cnan
stratified,42,3,,184,0.5454545454545454,cluster_cnan
stratified,42,3,,185,0.4857142857142857,cluster_cnan
stratified,42,3,,187,0.6060606060606061,cluster_cnan
stratified,42,3,,202,0.6666666666666666,cluster_cnan
stratified,42,3,,213,0.5172413793103449,cluster_cnan
stratified,42,3,,215,0.4418604651162791,cluster_cnan
stratified,42,3,,216,0.4186046511627907,cluster_cnan
stratified,42,3,,226,1.0,cluster_cnan
stratified,42,3,,229,0.5588235294117647,cluster_cnan
stratified,42,3,,234,0.42,cluster_cnan
stratified,42,3,,239,0.4545454545454545,cluster_cnan
stratified,42,3,,242,0.3846153846153846,cluster_cnan
stratified,42,3,,243,0.4117647058823529,cluster_cnan
stratified,42,3,,277,0.4482758620689655,cluster_cnan
stratified,42,3,,281,0.5,cluster_cnan
stratified,42,3,,282,0.5217391304347826,cluster_cnan
stratified,42,3,,290,0.5208333333333334,cluster_cnan
stratified,42,3,,291,0.4193548387096774,cluster_cnan
stratified,42,3,,294,0.4390243902439024,cluster_cnan
stratified,42,3,,295,0.7346938775510204,cluster_cnan
stratified,42,3,,301,0.7391304347826086,cluster_cnan
stratified,42,3,,302,0.4468085106382978,cluster_cnan
stratified,42,3,,303,0.5272727272727272,cluster_cnan
stratified,42,3,,308,0.2962962962962963,cluster_cnan
stratified,42,3,,309,0.4827586206896552,cluster_cnan
stratified,42,3,,317,0.7878787878787878,cluster_cnan
stratified,42,3,,322,0.3620689655172414,cluster_cnan
stratified,42,3,,323,0.4444444444444444,cluster_cnan
stratified,42,3,,326,0.5483870967741935,cluster_cnan
stratified,42,3,,328,0.5238095238095238,cluster_cnan
stratified,42,3,,335,0.5757575757575758,cluster_cnan
stratified,42,3,,336,0.4814814814814814,cluster_cnan
stratified,42,3,,340,0.525,cluster_cnan
stratified,42,3,,342,0.4509803921568627,cluster_cnan
stratified,42,3,,346,0.5405405405405406,cluster_cnan
stratified,42,3,,350,0.2727272727272727,cluster_cnan
stratified,42,3,,352,0.3947368421052631,cluster_cnan
stratified,42,3,,355,0.5263157894736842,cluster_cnan
stratified,42,3,,359,0.359375,cluster_cnan
stratified,42,3,,363,0.5,cluster_cnan
stratified,42,3,,367,0.53125,cluster_cnan
stratified,42,3,,375,0.6129032258064516,cluster_cnan
stratified,42,3,,385,0.5111111111111111,cluster_cnan
stratified,42,3,,391,0.5,cluster_cnan
stratified,42,3,,404,0.5111111111111111,cluster_cnan
stratified,42,3,,405,0.75,cluster_cnan
stratified,42,4,,11,0.42,cluster_cnan
stratified,42,4,,13,0.8387096774193549,cluster_cnan
stratified,42,4,,19,0.5882352941176471,cluster_cnan
stratified,42,4,,20,0.5111111111111111,cluster_cnan
stratified,42,4,,27,0.4482758620689655,cluster_cnan
stratified,42,4,,44,0.8148148148148148,cluster_cnan
stratified,42,4,,45,0.65,cluster_cnan
stratified,42,4,,50,0.6,cluster_cnan
stratified,42,4,,51,0.6857142857142857,cluster_cnan
stratified,42,4,,57,0.2903225806451613,cluster_cnan
stratified,42,4,,59,0.5555555555555556,cluster_cnan
stratified,42,4,,61,0.6216216216216216,cluster_cnan
stratified,42,4,,69,0.5121951219512195,cluster_cnan
stratified,42,4,,78,0.6153846153846154,cluster_cnan
stratified,42,4,,91,0.5172413793103449,cluster_cnan
stratified,42,4,,94,0.5,cluster_cnan
stratified,42,4,,95,0.4489795918367347,cluster_cnan
stratified,42,4,,106,0.5111111111111111,cluster_cnan
stratified,42,4,,112,0.4418604651162791,cluster_cnan
stratified,42,4,,114,0.4259259259259259,cluster_cnan
stratified,42,4,,119,0.4893617021276595,cluster_cnan
stratified,42,4,,121,0.5434782608695652,cluster_cnan
stratified,42,4,,135,0.3658536585365853,cluster_cnan
stratified,42,4,,138,0.6595744680851063,cluster_cnan
stratified,42,4,,141,0.4150943396226415,cluster_cnan
stratified,42,4,,147,0.5789473684210527,cluster_cnan
stratified,42,4,,149,0.4583333333333333,cluster_cnan
stratified,42,4,,153,0.6060606060606061,cluster_cnan
stratified,42,4,,156,0.5263157894736842,cluster_cnan
stratified,42,4,,168,0.5,cluster_cnan
stratified,42,4,,169,0.5208333333333334,cluster_cnan
stratified,42,4,,170,0.6285714285714286,cluster_cnan
stratified,42,4,,173,0.5217391304347826,cluster_cnan
stratified,42,4,,183,0.5135135135135135,cluster_cnan
stratified,42,4,,188,0.6,cluster_cnan
stratified,42,4,,196,0.5405405405405406,cluster_cnan
stratified,42,4,,199,0.3783783783783784,cluster_cnan
stratified,42,4,,206,0.7540983606557377,cluster_cnan
stratified,42,4,,207,0.3333333333333333,cluster_cnan
stratified,42,4,,217,0.6,cluster_cnan
stratified,42,4,,221,0.7254901960784313,cluster_cnan
stratified,42,4,,225,0.6046511627906976,cluster_cnan
stratified,42,4,,236,0.8260869565217391,cluster_cnan
stratified,42,4,,241,0.425531914893617,cluster_cnan
stratified,42,4,,258,0.3846153846153846,cluster_cnan
stratified,42,4,,265,0.4594594594594595,cluster_cnan
stratified,42,4,,268,0.3559322033898305,cluster_cnan
stratified,42,4,,270,0.4324324324324324,cluster_cnan
stratified,42,4,,279,0.6875,cluster_cnan
stratified,42,4,,284,0.6296296296296297,cluster_cnan
stratified,42,4,,286,0.4523809523809524,cluster_cnan
stratified,42,4,,292,0.4736842105263157,cluster_cnan
stratified,42,4,,297,0.65,cluster_cnan
stratified,42,4,,299,0.46,cluster_cnan
stratified,42,4,,300,0.5263157894736842,cluster_cnan
stratified,42,4,,304,0.4571428571428571,cluster_cnan
stratified,42,4,,307,0.4871794871794871,cluster_cnan
stratified,42,4,,312,0.75,cluster_cnan
stratified,42,4,,315,0.5813953488372093,cluster_cnan
stratified,42,4,,318,0.5116279069767442,cluster_cnan
stratified,42,4,,320,0.6136363636363636,cluster_cnan
stratified,42,4,,332,0.5714285714285714,cluster_cnan
stratified,42,4,,333,0.3296703296703296,cluster_cnan
stratified,42,4,,345,0.2711864406779661,cluster_cnan
stratified,42,4,,351,0.5675675675675675,cluster_cnan
stratified,42,4,,357,0.4,cluster_cnan
stratified,42,4,,360,0.5217391304347826,cluster_cnan
stratified,42,4,,361,0.3137254901960784,cluster_cnan
stratified,42,4,,364,0.4411764705882353,cluster_cnan
stratified,42,4,,365,0.5142857142857142,cluster_cnan
stratified,42,4,,366,0.5,cluster_cnan
stratified,42,4,,370,0.4878048780487805,cluster_cnan
stratified,42,4,,377,0.4375,cluster_cnan
stratified,42,4,,378,0.6,cluster_cnan
stratified,42,4,,380,0.4333333333333333,cluster_cnan
stratified,42,4,,392,0.3809523809523809,cluster_cnan
stratified,42,4,,397,0.3809523809523809,cluster_cnan
stratified,42,4,,400,0.5,cluster_cnan
stratified,42,4,,401,0.4642857142857143,cluster_cnan
stratified,42,4,,403,0.4259259259259259,cluster_cnan
stratified,42,4,,406,0.6285714285714286,cluster_cnan
stratified,42,4,,408,0.6129032258064516,cluster_cnan
stratified,43,0,,7,0.8148148148148148,cluster_cnan
stratified,43,0,,9,0.4,cluster_cnan
stratified,43,0,,16,0.5806451612903226,cluster_cnan
stratified,43,0,,20,0.5111111111111111,cluster_cnan
stratified,43,0,,21,0.4489795918367347,cluster_cnan
