regime,base_regime,cutoff,model,seed,fold,frac,RMSE,MAE,R2,optuna_best_rmse_innercv,alpha,nominal_coverage,cov,width,qhat
stratified,stratified,,svr,42,3,0.6,58.00983739137252,22.5607917167104,0.29156895541748795,27.835190840761992,0.05,0.95,0.9634146341463414,131.33886666722356,65.66943333361178
stratified,stratified,,svr,42,3,0.6,58.00983739137252,22.5607917167104,0.29156895541748795,27.835190840761992,0.1,0.9,0.9146341463414634,93.2421222319757,46.62106111598786
stratified,stratified,,svr,42,3,0.6,58.00983739137252,22.5607917167104,0.29156895541748795,27.835190840761992,0.2,0.8,0.8170731707317073,59.51578062370015,29.757890311850076
stratified,stratified,,xgb,42,3,0.8,60.55813310287592,20.507840064177806,0.22796099095847377,26.167209626636375,0.05,0.95,0.975609756097561,122.63044117181016,61.31522058590508
stratified,stratified,,xgb,42,3,0.8,60.55813310287592,20.507840064177806,0.22796099095847377,26.167209626636375,0.1,0.9,0.975609756097561,106.28979921475069,53.14489960737535
stratified,stratified,,xgb,42,3,0.8,60.55813310287592,20.507840064177806,0.22796099095847377,26.167209626636375,0.2,0.8,0.8902439024390244,59.88114220826879,29.940571104134392
stratified,stratified,,svr,42,3,0.8,63.4689663509327,23.698334431382484,0.15195843420650512,25.7675262539915,0.05,0.95,0.9878048780487805,180.2489313375795,90.12446566878975
stratified,stratified,,svr,42,3,0.8,63.4689663509327,23.698334431382484,0.15195843420650512,25.7675262539915,0.1,0.9,0.9146341463414634,95.74134849273715,47.870674246368566
stratified,stratified,,svr,42,3,0.8,63.4689663509327,23.698334431382484,0.15195843420650512,25.7675262539915,0.2,0.8,0.8414634146341463,64.08904441132348,32.044522205661735
stratified,stratified,,xgb,42,3,1.0,61.194617907372944,20.842468324775854,0.2116469664329096,25.09739634094591,0.05,0.95,0.9634146341463414,103.96222440264931,51.98111220132466
stratified,stratified,,xgb,42,3,1.0,61.194617907372944,20.842468324775854,0.2116469664329096,25.09739634094591,0.1,0.9,0.9512195121951219,90.36254818406225,45.18127409203112
stratified,stratified,,xgb,42,3,1.0,61.194617907372944,20.842468324775854,0.2116469664329096,25.09739634094591,0.2,0.8,0.9146341463414634,65.65920099665072,32.82960049832536
stratified,stratified,,svr,42,3,1.0,63.42922263220627,24.35266387241477,0.15302017428886683,26.157160711586354,0.05,0.95,0.926829268292683,95.59451074127549,47.79725537063774
stratified,stratified,,svr,42,3,1.0,63.42922263220627,24.35266387241477,0.15302017428886683,26.157160711586354,0.1,0.9,0.8658536585365854,83.28809049300953,41.64404524650476
stratified,stratified,,svr,42,3,1.0,63.42922263220627,24.35266387241477,0.15302017428886683,26.157160711586354,0.2,0.8,0.8170731707317073,61.33936629399465,30.66968314699733
stratified,stratified,,xgb,42,4,0.2,39.46390562343375,29.74935581462872,0.35539729399576625,66.00170237785272,0.05,0.95,0.9146341463414634,144.60660209121787,72.30330104560892
stratified,stratified,,xgb,42,4,0.2,39.46390562343375,29.74935581462872,0.35539729399576625,66.00170237785272,0.1,0.9,0.9146341463414634,144.60660209121787,72.30330104560892
stratified,stratified,,xgb,42,4,0.2,39.46390562343375,29.74935581462872,0.35539729399576625,66.00170237785272,0.2,0.8,0.9146341463414634,140.76247172495982,70.38123586247991
stratified,stratified,,svr,42,4,0.2,26.257807779269157,20.73638930014642,0.7146295986135982,57.44824301155014,0.05,0.95,0.9390243902439024,91.79257294293926,45.89628647146964
stratified,stratified,,svr,42,4,0.2,26.257807779269157,20.73638930014642,0.7146295986135982,57.44824301155014,0.1,0.9,0.9390243902439024,91.79257294293926,45.89628647146964
stratified,stratified,,svr,42,4,0.2,26.257807779269157,20.73638930014642,0.7146295986135982,57.44824301155014,0.2,0.8,0.8414634146341463,72.71315006039549,36.356575030197746
stratified,stratified,,xgb,42,4,0.4,61.76086309801182,27.100693730557666,-0.5787694345822931,47.070731979201526,0.05,0.95,0.9390243902439024,100.69555177830411,50.34777588915205
stratified,stratified,,xgb,42,4,0.4,61.76086309801182,27.100693730557666,-0.5787694345822931,47.070731979201526,0.1,0.9,0.8536585365853658,79.87729836945448,39.93864918472724
stratified,stratified,,xgb,42,4,0.4,61.76086309801182,27.100693730557666,-0.5787694345822931,47.070731979201526,0.2,0.8,0.7439024390243902,63.206982341106595,31.603491170553298
stratified,stratified,,svr,42,4,0.4,24.852310190266984,19.556198424419634,0.7443619313884509,45.34640246108106,0.05,0.95,0.9390243902439024,92.32850325119296,46.16425162559648
stratified,stratified,,svr,42,4,0.4,24.852310190266984,19.556198424419634,0.7443619313884509,45.34640246108106,0.1,0.9,0.8780487804878049,74.8217257416702,37.4108628708351
stratified,stratified,,svr,42,4,0.4,24.852310190266984,19.556198424419634,0.7443619313884509,45.34640246108106,0.2,0.8,0.8048780487804879,60.70482881943156,30.352414409715777
stratified,stratified,,xgb,42,4,0.6,25.827043126568135,19.49777521891799,0.723915915107012,25.536177403157325,0.05,0.95,0.975609756097561,128.12056624047773,64.06028312023886
stratified,stratified,,xgb,42,4,0.6,25.827043126568135,19.49777521891799,0.723915915107012,25.536177403157325,0.1,0.9,0.9634146341463414,121.96438213082277,60.98219106541137
stratified,stratified,,xgb,42,4,0.6,25.827043126568135,19.49777521891799,0.723915915107012,25.536177403157325,0.2,0.8,0.8902439024390244,83.11144416397372,41.55572208198686
stratified,stratified,,svr,42,4,0.6,24.519238858012482,17.801065584548095,0.7511681517256048,25.3046856312473,0.05,0.95,0.9634146341463414,130.3452088696672,65.1726044348336
stratified,stratified,,svr,42,4,0.6,24.519238858012482,17.801065584548095,0.7511681517256048,25.3046856312473,0.1,0.9,0.926829268292683,89.83630359399045,44.91815179699523
stratified,stratified,,svr,42,4,0.6,24.519238858012482,17.801065584548095,0.7511681517256048,25.3046856312473,0.2,0.8,0.8170731707317073,64.2335706398843,32.11678531994215
stratified,stratified,,xgb,42,4,0.8,24.281489599494694,17.77942057816612,0.755970321087646,21.741974992034567,0.05,0.95,0.9878048780487805,148.54970927926027,74.27485463963012
stratified,stratified,,xgb,42,4,0.8,24.281489599494694,17.77942057816612,0.755970321087646,21.741974992034567,0.1,0.9,0.9512195121951219,98.95025266399921,49.475126331999604
stratified,stratified,,xgb,42,4,0.8,24.281489599494694,17.77942057816612,0.755970321087646,21.741974992034567,0.2,0.8,0.9146341463414634,80.32617032179132,40.16308516089566
stratified,stratified,,svr,42,4,0.8,22.980117376462694,17.193726356547362,0.7814270157606614,24.114487980277243,0.05,0.95,1.0,188.79448674119425,94.39724337059712
stratified,stratified,,svr,42,4,0.8,22.980117376462694,17.193726356547362,0.7814270157606614,24.114487980277243,0.1,0.9,0.975609756097561,96.3957722822563,48.19788614112815
stratified,stratified,,svr,42,4,0.8,22.980117376462694,17.193726356547362,0.7814270157606614,24.114487980277243,0.2,0.8,0.8780487804878049,74.30170379935713,37.15085189967857
stratified,stratified,,xgb,42,4,1.0,23.945170894139583,19.005299896902173,0.7626835307184934,36.53237773394967,0.05,0.95,0.9878048780487805,127.18115750811806,63.59057875405904
stratified,stratified,,xgb,42,4,1.0,23.945170894139583,19.005299896902173,0.7626835307184934,36.53237773394967,0.1,0.9,0.926829268292683,89.46001763696506,44.73000881848253
stratified,stratified,,xgb,42,4,1.0,23.945170894139583,19.005299896902173,0.7626835307184934,36.53237773394967,0.2,0.8,0.7926829268292683,59.35216066413203,29.67608033206602
stratified,stratified,,svr,42,4,1.0,23.508097685065767,17.632573151935027,0.7712679775532453,35.062833616406046,0.05,0.95,0.9878048780487805,145.81119006172406,72.90559503086203
stratified,stratified,,svr,42,4,1.0,23.508097685065767,17.632573151935027,0.7712679775532453,35.062833616406046,0.1,0.9,0.9390243902439024,92.61528619170211,46.30764309585106
stratified,stratified,,svr,42,4,1.0,23.508097685065767,17.632573151935027,0.7712679775532453,35.062833616406046,0.2,0.8,0.8536585365853658,66.25970552188596,33.12985276094298
stratified,stratified,,xgb,43,0,0.2,45.75952899806413,30.39565453516998,0.2413779032415727,55.70738791893976,0.05,0.95,0.8902439024390244,108.0048764820383,54.00243824101915
stratified,stratified,,xgb,43,0,0.2,45.75952899806413,30.39565453516998,0.2413779032415727,55.70738791893976,0.1,0.9,0.8902439024390244,108.0048764820383,54.00243824101915
stratified,stratified,,xgb,43,0,0.2,45.75952899806413,30.39565453516998,0.2413779032415727,55.70738791893976,0.2,0.8,0.8902439024390244,105.80054615227891,52.900273076139456
stratified,stratified,,svr,43,0,0.2,36.33343331730439,23.650811873019514,0.5217276501948451,51.489096221504234,0.05,0.95,0.9146341463414634,121.54137442033797,60.770687210169
stratified,stratified,,svr,43,0,0.2,36.33343331730439,23.650811873019514,0.5217276501948451,51.489096221504234,0.1,0.9,0.9146341463414634,121.54137442033797,60.770687210169
stratified,stratified,,svr,43,0,0.2,36.33343331730439,23.650811873019514,0.5217276501948451,51.489096221504234,0.2,0.8,0.9146341463414634,119.26804950852376,59.63402475426187
stratified,stratified,,xgb,43,0,0.4,25.75395629819495,18.98021298994734,0.7597019170932315,22.820001696867553,0.05,0.95,1.0,203.24948042537164,101.62474021268582
stratified,stratified,,xgb,43,0,0.4,25.75395629819495,18.98021298994734,0.7597019170932315,22.820001696867553,0.1,0.9,0.9634146341463414,114.11658619134141,57.058293095670706
stratified,stratified,,xgb,43,0,0.4,25.75395629819495,18.98021298994734,0.7597019170932315,22.820001696867553,0.2,0.8,0.8414634146341463,68.70070710108881,34.35035355054441
stratified,stratified,,svr,43,0,0.4,25.873574059835633,20.130363623931597,0.7574645388049902,23.396648824760337,0.05,0.95,1.0,208.81389682890085,104.40694841445037
